Candidati totali nel file: 305
Candidati analizzati: 305
Partite INFINITE trovate: 162

              rank         esito    turni_pre_loop   turni_gpu  sequenza
    70552965893752      INFINITO               557        4500  0010300010020000200000001002030203031000
    70552965914287      INFINITO               557        4500  0010300010020000200000001003030202031000
    73755937579899     TERMINATA              4594        4504  0013032000000001020203000300000200010010
    74705603509960      INFINITO               564        4500  0020000001000002100030310000310030202000
    74707601239120      INFINITO               564        4500  0020000001000003100020310000310030202000
    74707611944568      INFINITO               564        4500  0020000001000003100030310000310020202000
    74885831891039      INFINITO               197        4501  0020000002100001300000020001020310030300
    77028464962167     TERMINATA              4550        4503  0020003000002312000100010300000100023000
    77462800738747      INFINITO               208        4502  0020010000121003000200100300003030000200
    78468759318682      INFINITO               559        4501  0020030001003000100200002100000010030302
    78468759408766      INFINITO               559        4501  0020030001003000100200003100000010020302
    78468759408775      INFINITO               559        4501  0020030001003000100200003100000010030202
    79629482178816     TERMINATA              4599        4500  0020130320000000010210003000300000200010
    80134549365618     TERMINATA              4506        4505  0020220000000030000303001001032010001000
    80719964875415      INFINITO               546        4500  0020302030310000031000100200002000000010
    80799127395533      INFINITO               558        4500  0020310000031003020200020000000100000310
    82166740449976     TERMINATA              4601        4500  0022000001000000302003001001203010000030
    82602404230615      INFINITO               560        4502  0022030001003000100200000310000001002030
    82602404230618      INFINITO               560        4502  0022030001003000100200000310000001003020
    82602404220256      INFINITO               560        4502  0022030001003000100200000210000001003030
    83744107922784     TERMINATA              4528        4501  0023120001003030000010023000000020100000
    86798179640602     TERMINATA              4518        4500  0030002020200000000300000013001000103201
    88564101084557      INFINITO               164        4500  0030030100203030001000010000020202100000
    90016849133615      INFINITO               546        4500  0030202030310000031000100200002000000010
    90556530320745      INFINITO               250        4503  0030300201000000000030230100000202010010
    90556530072315      INFINITO               251        4502  0030300201000000000030203100000202010010
    90556532424665      INFINITO               250        4502  0030300201000000000032030100000202010010
    90672286479815      INFINITO               546        4500  0030302020310000031000100200002000000010
    90725350423793      INFINITO               558        4500  0030310000031002020200020000000100000310
    90725354385518      INFINITO               558        4500  0030310000031003020200020000000100000210
    91417829789819      INFINITO               558        4500  0031003100202020000320000100000310000000
    91418049588776      INFINITO               558        4500  0031003100302020000320000100000210000000
    91418049556799      INFINITO               558        4500  0031003100302020000220000100000310000000
    92246060785248     TERMINATA              4577        4500  0032000102020003103030000010010020000000
    92587424669913      INFINITO               198        4505  0032020000000010030030001000320020010001
    92734721829307     TERMINATA              4566        4500  0032100000100300000102000320020100300000
    93566194142308      INFINITO               199        4500  0033030000200000021001000100300020001020
    95515848331474      INFINITO               554        4501  0100000200000001000020203031000003100302
    95515884910744      INFINITO               554        4501  0100000200000001000030202031000003100302
    95515885301161      INFINITO               554        4501  0100000200000001000030203031000003100202
    96907217057533      INFINITO               160        4506  0100003003010020303000000001000002020210
    97303075448771      INFINITO               198        4500  0100010030002000102003303000020000002100
    98252519178900     TERMINATA              4600        4501  0100030003000002000100201303200000000102
    99111577645796     TERMINATA              4607        4502  0100120030003000002000100020130320000000
    99900704997220     TERMINATA              4529        4502  0100230000000201000000231200010030300000
   100359821850644      INFINITO               206        4500  0100300303000020000020010002100300020001
   102285236018089     TERMINATA              4591        4500  0102030100000302100000001000000302000032
   102858860715233      INFINITO               166        4501  0103000021003000000000001002020203100003
   105094392056848      INFINITO               555        4502  0120000200000001000020020303100000310030
   105094398954193      INFINITO               555        4502  0120000200000001000030020203100000310030
   105094398999023      INFINITO               555        4502  0120000200000001000030020303100000310020
   105500421551547     TERMINATA              4601        4502  0120030003000002000100020130320000000010
   106658499216597      INFINITO               553        4500  0130001002000020000000100203020303100000
   106658499263567      INFINITO               553        4500  0130001002000020000000100302020303100000
   106658499269703      INFINITO               553        4500  0130001002000020000000100303020203100000
   106954227391669     TERMINATA              4664        4501  0130023302200030010000000010000000000021
   108716078425501      INFINITO               206        4502  0200000010000130000200200012031003030000
   108766146309792      INFINITO               199        4500  0200000010030003030000002002001000121003
   109223204489461     TERMINATA              4597        4500  0200000100000030200030000120301000003021
   112456414356570     TERMINATA              4565        4500  0200032002010030000003210000010030000010
   112739177418880      INFINITO               193        4502  0200100012100300020001003000303000020000
   113994014741375     TERMINATA              4546        4500  0200300000231200010000130000010002300000
   115755648941635     TERMINATA              4502        4501  0202000000003000030030010003201000100021
   116075579217731      INFINITO               566        4500  0202002030001003000100000030310000001002
   116075579217236      INFINITO               566        4500  0202002030001003000100000030210000001003
   116075579210471      INFINITO               566        4500  0202002030001003000100000020310000001003
   116222093838812      INFINITO               165        4500  0202020310000300301000210030000000001000
   116222900837360      INFINITO               161        4504  0202021000000000301001002030300010000300
   116415376205323      INFINITO               567        4501  0202202030001003000100000003031000000100
   116490137494943      INFINITO               567        4501  0202302030001003000100000003021000000100
   116490137494283      INFINITO               567        4501  0202302030001003000100000002031000000100
   116687935417865     TERMINATA              4545        4503  0203000002312000100300100000010002300000
   117324171726559      INFINITO               565        4500  0203100003100302020000200000010000031000
   118503573531623     TERMINATA              4566        4502  0210202000310300303000010020000000010000
   122646741370679     TERMINATA              4580        4500  0300000010010020000000320000102020003103
   125321716799680      INFINITO               201        4502  0300011000320020010000302020000000010030
   126068473894362     TERMINATA              4593        4503  0300030000020001001001303200000000102020
   126725771973901     TERMINATA              4505        4504  0300100103201000100002022000000003000030
   126731420467008     TERMINATA              4600        4500  0300100120301000003002200000100000030200
   127684240142213     TERMINATA              4514        4501  0300202020000000030000001300100010320100
   130372737293824      INFINITO               252        4503  0302031000002020100100303002010000000000
   130646411808784      INFINITO               251        4500  0302301000002020100100303002010000000000
   130852616573635      INFINITO               202        4500  0303000020000002100010000030002000102031
   131130219147896      INFINITO               167        4505  0303010020303000100000100002020210000000
   131288555076259      INFINITO               565        4500  0303100003100202020000200000010000031000
   131288561594159      INFINITO               565        4500  0303100003100302020000200000010000021000
   131683651042626     TERMINATA              4562        4502  0310000010030000010020002002010030000023
   132722429236175     TERMINATA              4523        4504  0312000100303000000223000000020100000010
   133977671771584      INFINITO               251        4503  0320301000002020100100303002010000000000
   136147857569761      INFINITO               163        4500  1000000001000002020200100003003010020303
   136538325667598      INFINITO               557        4502  1000000010020302030300001003000100200002
   136546372206098      INFINITO               557        4502  1000000010030202030300001003000100200002
   136547127523738      INFINITO               557        4502  1000000010030302020300001003000100200002
   136902088682578      INFINITO               169        4503  1000000030100202020300000100003000021003
   137622903895326     TERMINATA              4583        4500  1000000302000032002003010000030210000010
   138322647997829      INFINITO               161        4506  1000002100300000000001002020203100003003
   138525324834443      INFINITO               201        4502  1000003000200010203130300002000000210000
   142050001698370      INFINITO               168        4502  1000300301002030300000000100000202021000
   143907859296764      INFINITO               158        4503  1002020203100003003000002100300000000010
   143907930872313      INFINITO               165        4500  1002020210000000003000010020303000100003
   144879584700471     TERMINATA              4586        4502  1003010000030210000001000000302000032002
   145040294063446      INFINITO               164        4500  1003030001000030000202100000000030100202
   151478781939182     TERMINATA              4515        4501  1200010030000002023300000001000000100203
   151511093645548     TERMINATA              4516        4502  1200013030000002023300000000100000010020
   152291881917119     TERMINATA              4587        4500  1203010000030210000000100000030200003200
   152313301856473      INFINITO               165        4500  1203030001000030000200210000000003010020
   153369523776730      INFINITO               162        4507  1300002100300000000000100202020310000300
   154327219631488     TERMINATA              4587        4500  1303200000010202000300030000000010010020
   157272730597392      INFINITO               195        4501  2000001003000303000000200200100012100300
   158223389343291     TERMINATA              4593        4500  2000010000003020000300012030100000302100
   158241762175249      INFINITO               557        4500  2000010000021000000003100310030202000030
   158252443923599      INFINITO               557        4500  2000010000031000000003100310020202000030
   158252443923832      INFINITO               557        4500  2000010000031000000003100310030202000020
   160670585474026      INFINITO               200        4500  2000200100012100300000000100300030300002
   160705906185300     TERMINATA              4561        4501  2000200201003000002331000001003000001000
   162140211602063      INFINITO               205        4503  2001000210030002000110030030300002000000
   163434277436841      INFINITO               554        4501  2002030310000031003012000020000000100000
   166982306811891      INFINITO               553        4500  2020303100000310030210000020000000100000
   168434191015749      INFINITO               561        4500  2031000310030202000002000001000003100000
   168801834207152      INFINITO               166        4500  2100000000001000002002031000030030100203
   168844060699379      INFINITO               161        4500  2100000000030100202003030001000030000210
   170550446934739      INFINITO               167        4500  2130000000001000002002003100003003010020
   172399601439050     TERMINATA              4522        4503  2300000002010000001031200010030300000020
   172835311605969      INFINITO               552        4504  2300010030001002000000100000010030302020
   172835311605857      INFINITO               552        4504  2300010030001002000000100000010020302030
   172835311605952      INFINITO               552        4504  2300010030001002000000100000010030202030
   176594131614918     TERMINATA              4576        4500  3000001001002000000003200010202000310300
   176880337952724      INFINITO               197        4500  3000002000000210000100030002000102031003
   178012984519135     TERMINATA              4596        4501  3000012030100000302120000010000003020000
   179312526114033      INFINITO               197        4504  3000100032002001000103202000000001003000
   181549965279577     TERMINATA              4501        4500  3001000320100010002120200000000300003000
   182919394528281      INFINITO               554        4501  3002020310000031003012000020000000100000
   182985806378821      INFINITO               554        4501  3002030310000031002012000020000000100000
   183299039438555     TERMINATA              4657        4503  3002330200300100001000001000000000001220
   184362933082040     TERMINATA              4580        4502  3010000030210000010000000302000032002010
   186518684919291      INFINITO               553        4500  3020203100000310030210000020000000100000
   186608060828851      INFINITO               553        4500  3020303100000310020210000020000000100000
   187875857333949      INFINITO               561        4500  3031000310020202000002000001000003100000
   187875867635403      INFINITO               561        4500  3031000310030202000002000001000002100000
   187966648427985     TERMINATA              4583        4501  3032000001020200031000300000001001002000
   190958614560429     TERMINATA              4572        4503  3200102020003103003000000001002000000001
   192440806569261      INFINITO               198        4500  3300002000000210000100003000200010203100
